Категория,Название,Вес/Объем,Цена (₽),Описание
Шаурма,Вегетарианская,Стандарт,220,"Сочная шаурма с хрустящими овощами, свежими томатами, огурцами, капустой и ароматными специями. Заправлена йогуртовым соусом с зеленью"
Шаурма,Классик,Стандарт,220,"Традиционная шаурма с нежным куриным мясом, свежими овощами, маринованными огурчиками и фирменным чесночным соусом в мягком лаваше"
Шаурма,В сырном лаваше,Стандарт,230,"Аппетитная шаурма с сочным мясом в золотистом сырном лаваше. Расплавленный сыр добавляет неповторимый вкус и аромат"
Ролл,Цезарь-Ролл,Стандарт,250,"Изысканный ролл с нежным куриным филе, хрустящими листьями салата айсберг, пармезаном и классическим соусом Цезарь"
Хот-Дог,Хот-Дог с сосиской,Стандарт,190,"Классический хот-дог с сочной говяжьей сосиской, горчицей, кетчупом и хрустящим луком. На выбор в лаваше или булочке"
Хот-Дог,Хот-Дог с курицей,Стандарт,220,"Ароматный хот-дог с нежным куриным филе, свежими овощами и пикантным соусом. Сытно и вкусно!"
Гирос,Гирос,Стандарт,275,"Традиционный греческий гирос с маринованной свининой, цацики, красным луком, томатами и картофелем фри в пите"
Напитки,Кола,330 мл,100,"Освежающая Coca-Cola Classic. Идеально сочетается с любым блюдом"
Напитки,Апельсиновый сок,250 мл,120,"100% натуральный апельсиновый сок прямого отжима. Богат витамином C и природной энергией"
Напитки,Чай,250 мл,80,"Ароматный черный чай высшего сорта. Подается горячим с лимоном и сахаром"
Напитки,Кофе,200 мл,120,"Крепкий эспрессо из отборных зерен арабики. Бодрящий вкус для истинных ценителей кофе"
Напитки,Вода,500 мл,60,"Чистая питьевая вода без газа. Утоляет жажду и освежает" 
